SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,15203
0,0,0,0,1,0,1,0,0,1,0,0,0,1,15456
0,1,0,1,0,1,0,1,0,0,1,0,1,1,15400
1,1,0,0,0,1,0,0,1,1,0,1,0,1,14587
1,0,0,1,1,1,0,1,1,1,0,0,1,1,15355
1,1,1,1,0,0,1,0,1,1,1,0,1,0,15355
0,1,1,1,1,1,1,0,0,1,0,1,1,0,14508
1,0,1,0,1,0,0,1,1,1,0,0,0,1,15564
1,0,1,1,1,0,1,0,1,1,1,1,1,0,14830
1,0,0,1,1,1,0,1,1,0,1,1,0,0,14005
0,1,0,1,0,1,1,0,0,1,0,1,0,0,14443
0,0,0,1,0,1,0,1,0,1,1,1,0,0,14034
0,1,0,0,1,1,0,0,1,0,1,0,1,0,14890
0,1,1,1,1,0,0,1,0,1,0,0,1,0,14725
1,1,0,1,1,0,0,1,1,0,1,0,0,0,14611
0,0,1,0,1,1,0,1,1,1,0,0,0,0,14542
1,0,0,0,1,0,0,1,1,0,0,1,0,1,13996
1,1,0,0,0,0,0,1,0,0,1,1,1,1,13877
1,1,0,1,0,0,1,0,0,1,0,1,0,0,13883
0,0,0,0,0,1,0,1,1,0,0,1,0,1,13958
0,1,1,1,1,0,0,0,0,1,0,0,1,1,14583
1,0,0,0,1,1,0,0,1,1,1,0,0,0,14369
0,1,1,1,0,0,0,0,0,0,1,0,1,1,14566
1,1,1,1,1,0,0,1,0,1,1,0,1,0,14366
1,1,0,1,0,0,0,0,1,1,0,0,1,1,14674
0,0,1,0,0,0,1,0,1,1,0,1,0,0,13689
0,1,1,0,1,1,0,1,1,0,0,1,1,0,13400
1,0,0,1,1,0,1,1,0,0,0,1,1,0,13774
1,1,1,0,0,0,1,0,1,0,0,0,0,1,14319
0,0,0,0,1,0,0,0,1,0,1,0,1,0,14331
0,0,0,0,1,0,0,0,0,1,1,1,1,0,13818
1,0,1,1,1,1,0,1,0,0,0,1,0,0,13900
0,1,0,1,0,0,0,0,1,0,0,0,0,1,14730
0,1,0,1,0,0,0,0,0,0,1,1,0,1,14092
1,1,0,1,1,1,0,1,0,0,0,0,0,0,14551
0,1,1,0,0,0,1,0,0,1,1,1,0,0,13946
0,1,1,0,0,0,0,1,0,1,1,0,0,1,14815
1,1,1,0,1,1,0,0,1,0,1,1,1,1,13957
0,0,0,0,1,0,1,0,1,0,1,0,1,0,14606
0,0,0,1,1,1,0,0,0,0,0,1,1,1,13956
1,0,0,0,1,0,1,1,0,0,1,0,1,0,14623
1,0,0,1,0,1,0,1,1,0,0,0,1,0,14762
0,1,1,0,0,0,1,1,1,1,1,1,0,0,14061
1,0,1,1,0,0,0,0,1,1,1,0,1,0,14854
0,0,0,1,1,0,0,1,0,1,1,0,1,1,14980
1,1,1,1,1,0,0,1,1,1,0,0,1,0,14783
1,0,1,0,0,1,1,1,1,0,1,1,0,1,14138
0,1,0,1,1,1,0,0,1,1,0,0,1,0,14859
0,1,1,1,1,1,1,0,1,1,1,0,1,0,15258
0,1,0,1,0,0,1,1,1,1,1,0,0,0,14744
1,0,1,1,1,0,1,0,1,1,0,1,1,0,14246
1,0,0,1,1,1,1,0,0,0,1,1,1,0,14343
1,0,0,1,0,0,1,1,0,0,0,0,0,1,14939
1,1,1,0,0,1,0,0,1,0,1,0,1,1,15060
0,0,1,1,0,1,0,1,1,1,0,0,0,0,15034
1,0,0,0,1,1,0,1,0,1,1,1,1,0,14260
1,1,1,0,0,0,0,1,0,0,0,0,0,1,15235
0,0,1,0,1,1,1,0,0,0,1,0,0,0,15057
1,1,1,0,0,0,0,0,0,1,1,0,0,0,15066
0,0,0,0,0,1,1,1,1,0,0,1,1,0,14316
0,0,1,1,1,0,1,1,0,0,1,0,0,0,15106
0,1,0,0,0,1,1,1,1,1,0,1,1,0,14353
0,0,0,1,0,0,0,0,0,1,1,0,0,1,15128
1,0,0,0,1,1,0,1,0,1,1,1,0,0,14730
0,0,1,1,0,0,1,1,0,1,1,1,1,0,15303
0,1,1,1,1,0,1,0,0,0,1,0,1,0,16336
0,0,0,1,0,0,0,0,0,1,0,1,1,0,15459
0,1,0,1,0,0,1,0,0,1,1,0,1,1,16456
0,0,1,1,1,0,1,0,1,1,1,0,1,0,16415
0,0,0,1,1,0,1,0,1,1,0,0,1,0,16418
0,0,1,0,0,0,0,0,1,0,1,0,1,1,16493
0,0,1,0,1,0,1,0,0,0,0,0,0,1,16424
0,1,1,1,1,1,1,0,1,1,0,1,1,1,14242
1,1,0,1,0,0,0,1,0,1,0,1,0,0,14034
1,0,1,1,0,0,0,1,1,1,1,0,0,0,14620
1,1,0,0,1,1,1,0,0,0,0,1,1,0,13918
1,0,0,1,1,1,1,0,1,1,1,1,0,1,13935
0,0,0,0,0,1,0,1,0,0,0,0,0,1,14590
1,1,1,1,1,1,1,1,1,1,1,0,0,1,14707
0,0,1,1,0,0,1,1,0,0,1,1,0,0,14042
1,1,1,0,1,0,1,1,1,1,0,1,0,0,14174
0,0,0,1,1,0,0,0,0,1,1,0,1,0,14823
1,1,0,0,1,0,0,0,1,0,0,1,1,0,14280
0,1,0,1,1,0,0,0,0,0,0,1,1,0,14179
1,0,0,1,0,1,0,0,1,1,1,1,1,0,14301
1,1,1,1,1,1,0,0,1,1,1,0,0,0,14597
1,0,1,0,1,1,0,0,1,1,1,1,0,1,14043
0,0,1,1,0,1,0,1,0,0,1,1,0,1,14022
0,1,0,1,0,0,1,1,1,1,1,0,1,1,14636
1,0,0,1,1,1,1,0,1,0,0,1,1,0,13997
1,0,0,1,1,0,1,0,1,1,0,1,1,0,13876
0,0,1,1,0,0,0,0,1,1,0,0,1,0,14472
0,0,0,0,1,1,1,1,1,0,1,0,1,0,14481
1,0,0,1,1,1,1,1,1,0,1,0,0,1,14433
1,1,0,0,0,1,0,0,1,0,0,1,0,0,13937
