SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,74.611
0,0,0,0,1,0,1,0,0,1,0,0,0,1,74.469
0,1,0,1,0,1,0,1,0,0,1,0,1,1,73.773
1,1,0,0,0,1,0,0,1,1,0,1,0,1,74.656
1,0,0,1,1,1,0,1,1,1,0,0,1,1,74.1
1,1,1,1,0,0,1,0,1,1,1,0,1,0,73.31
0,1,1,1,1,1,1,0,0,1,0,1,1,0,74.191
1,0,1,0,1,0,0,1,1,1,0,0,0,1,74.79
1,0,1,1,1,0,1,0,1,1,1,1,1,0,74.667
1,0,0,1,1,1,0,1,1,0,1,1,0,0,73.42
0,1,0,1,0,1,1,0,0,1,0,1,0,0,74.594
0,0,0,1,0,1,0,1,0,1,1,1,0,0,74.753
0,1,0,0,1,1,0,0,1,0,1,0,1,0,73.419
0,1,1,1,1,0,0,1,0,1,0,0,1,0,74.157
1,1,0,1,1,0,0,1,1,0,1,0,0,0,74.454
0,0,1,0,1,1,0,1,1,1,0,0,0,0,74.9
1,0,0,0,1,0,0,1,1,0,0,1,0,1,73.966
1,1,0,0,0,0,0,1,0,0,1,1,1,1,73.554
1,1,0,1,0,0,1,0,0,1,0,1,0,0,74.86
0,0,0,0,0,1,0,1,1,0,0,1,0,1,73.987
0,1,1,1,1,0,0,0,0,1,0,0,1,1,74.01
1,0,0,0,1,1,0,0,1,1,1,0,0,0,74.491
0,1,1,1,0,0,0,0,0,0,1,0,1,1,73.607
1,1,1,1,1,0,0,1,0,1,1,0,1,0,73.977
1,1,0,1,0,0,0,0,1,1,0,0,1,1,74.555
0,0,1,0,0,0,1,0,1,1,0,1,0,0,74.004
0,1,1,0,1,1,0,1,1,0,0,1,1,0,73.372
1,0,0,1,1,0,1,1,0,0,0,1,1,0,73.541
