SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,204.26
0,0,0,0,1,0,1,0,0,1,0,0,0,1,200.68
0,1,0,1,0,1,0,1,0,0,1,0,1,1,201.33
1,1,0,0,0,1,0,0,1,1,0,1,0,1,204.66
1,0,0,1,1,1,0,1,1,1,0,0,1,1,200.08
1,1,1,1,0,0,1,0,1,1,1,0,1,0,197.1
0,1,1,1,1,1,1,0,0,1,0,1,1,0,203.81
1,0,1,0,1,0,0,1,1,1,0,0,0,1,199.08
1,0,1,1,1,0,1,0,1,1,1,1,1,0,204.64
1,0,0,1,1,1,0,1,1,0,1,1,0,0,202.98
0,1,0,1,0,1,1,0,0,1,0,1,0,0,203.9
0,0,0,1,0,1,0,1,0,1,1,1,0,0,207.97
0,1,0,0,1,1,0,0,1,0,1,0,1,0,197.83
0,1,1,1,1,0,0,1,0,1,0,0,1,0,197.49
1,1,0,1,1,0,0,1,1,0,1,0,0,0,197.49
0,0,1,0,1,1,0,1,1,1,0,0,0,0,199.59
1,0,0,0,1,0,0,1,1,0,0,1,0,1,203.69
1,1,0,0,0,0,0,1,0,0,1,1,1,1,205.38
1,1,0,1,0,0,1,0,0,1,0,1,0,0,206.0
0,0,0,0,0,1,0,1,1,0,0,1,0,1,205.19
0,1,1,1,1,0,0,0,0,1,0,0,1,1,197.75
1,0,0,0,1,1,0,0,1,1,1,0,0,0,196.78
0,1,1,1,0,0,0,0,0,0,1,0,1,1,197.44
1,1,1,1,1,0,0,1,0,1,1,0,1,0,199.47
1,1,0,1,0,0,0,0,1,1,0,0,1,1,197.09
0,0,1,0,0,0,1,0,1,1,0,1,0,0,204.72
0,1,1,0,1,1,0,1,1,0,0,1,1,0,204.98
1,0,0,1,1,0,1,1,0,0,0,1,1,0,207.16
1,1,1,0,0,0,1,0,1,0,0,0,0,1,199.94
0,0,0,0,1,0,0,0,1,0,1,0,1,0,198.77
0,0,0,0,1,0,0,0,0,1,1,1,1,0,204.39
1,0,1,1,1,1,0,1,0,0,0,1,0,0,205.08
0,1,0,1,0,0,0,0,1,0,0,0,0,1,196.99
0,1,0,1,0,0,0,0,0,0,1,1,0,1,206.29
1,1,0,1,1,1,0,1,0,0,0,0,0,0,198.18
0,1,1,0,0,0,1,0,0,1,1,1,0,0,204.67
