SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2.271
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2.14
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2.187
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2.233
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2.208
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2.205
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2.313
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2.334
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2.286
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2.189
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2.263
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2.169
0,1,0,0,1,1,0,0,1,0,1,0,1,0,2.11
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2.177
1,1,0,1,1,0,0,1,1,0,1,0,0,0,2.2
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2.21
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2.301
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2.318
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2.191
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2.233
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2.254
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2.205
0,1,1,1,0,0,0,0,0,0,1,0,1,1,2.21
1,1,1,1,1,0,0,1,0,1,1,0,1,0,2.342
1,1,0,1,0,0,0,0,1,1,0,0,1,1,2.13
0,0,1,0,0,0,1,0,1,1,0,1,0,0,2.233
0,1,1,0,1,1,0,1,1,0,0,1,1,0,2.212
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2.298
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2.198
0,0,0,0,1,0,0,0,1,0,1,0,1,0,2.087
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2.303
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2.2
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2.211
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2.242
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2.205
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2.235
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2.121
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2.335
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2.325
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2.255
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2.207
