SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,8.839
0,0,0,0,1,0,1,0,0,1,0,0,0,1,7.687
0,1,0,1,0,1,0,1,0,0,1,0,1,1,7.616
1,1,0,0,0,1,0,0,1,1,0,1,0,1,9.159
1,0,0,1,1,1,0,1,1,1,0,0,1,1,7.618
1,1,1,1,0,0,1,0,1,1,1,0,1,0,7.669
0,1,1,1,1,1,1,0,0,1,0,1,1,0,8.794
1,0,1,0,1,0,0,1,1,1,0,0,0,1,7.919
1,0,1,1,1,0,1,0,1,1,1,1,1,0,9.147
1,0,0,1,1,1,0,1,1,0,1,1,0,0,8.983
0,1,0,1,0,1,1,0,0,1,0,1,0,0,9.04
0,0,0,1,0,1,0,1,0,1,1,1,0,0,8.979
0,1,0,0,1,1,0,0,1,0,1,0,1,0,7.511
0,1,1,1,1,0,0,1,0,1,0,0,1,0,7.727
1,1,0,1,1,0,0,1,1,0,1,0,0,0,7.729
0,0,1,0,1,1,0,1,1,1,0,0,0,0,7.837
1,0,0,0,1,0,0,1,1,0,0,1,0,1,8.913
1,1,0,0,0,0,0,1,0,0,1,1,1,1,8.855
1,1,0,1,0,0,1,0,0,1,0,1,0,0,9.02
0,0,0,0,0,1,0,1,1,0,0,1,0,1,8.763
0,1,1,1,1,0,0,0,0,1,0,0,1,1,7.697
1,0,0,0,1,1,0,0,1,1,1,0,0,0,7.877
0,1,1,1,0,0,0,0,0,0,1,0,1,1,7.456
1,1,1,1,1,0,0,1,0,1,1,0,1,0,7.643
1,1,0,1,0,0,0,0,1,1,0,0,1,1,7.648
0,0,1,0,0,0,1,0,1,1,0,1,0,0,9.055
0,1,1,0,1,1,0,1,1,0,0,1,1,0,8.558
1,0,0,1,1,0,1,1,0,0,0,1,1,0,8.796
