SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2515.4
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2494.4
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2510.6
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2515.4
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2495.7
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2498.1
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2526.4
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2503.7
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2508.3
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2506.4
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2531.4
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2523.8
0,1,0,0,1,1,0,0,1,0,1,0,1,0,2490.0
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2493.7
1,1,0,1,1,0,0,1,1,0,1,0,0,0,2488.7
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2498.8
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2512.2
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2511.1
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2499.9
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2506.5
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2498.5
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2496.1
0,1,1,1,0,0,0,0,0,0,1,0,1,1,2497.0
