SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,11.537
0,0,0,0,1,0,1,0,0,1,0,0,0,1,9.85
0,1,0,1,0,1,0,1,0,0,1,0,1,1,9.556
1,1,0,0,0,1,0,0,1,1,0,1,0,1,11.671
1,0,0,1,1,1,0,1,1,1,0,0,1,1,9.915
1,1,1,1,0,0,1,0,1,1,1,0,1,0,9.885
0,1,1,1,1,1,1,0,0,1,0,1,1,0,11.544
1,0,1,0,1,0,0,1,1,1,0,0,0,1,9.934
1,0,1,1,1,0,1,0,1,1,1,1,1,0,11.783
1,0,0,1,1,1,0,1,1,0,1,1,0,0,11.132
0,1,0,1,0,1,1,0,0,1,0,1,0,0,11.612
0,0,0,1,0,1,0,1,0,1,1,1,0,0,11.72
0,1,0,0,1,1,0,0,1,0,1,0,1,0,9.325
0,1,1,1,1,0,0,1,0,1,0,0,1,0,9.895
1,1,0,1,1,0,0,1,1,0,1,0,0,0,9.439
0,0,1,0,1,1,0,1,1,1,0,0,0,0,9.991
1,0,0,0,1,0,0,1,1,0,0,1,0,1,11.129
1,1,0,0,0,0,0,1,0,0,1,1,1,1,10.958
1,1,0,1,0,0,1,0,0,1,0,1,0,0,11.665
0,0,0,0,0,1,0,1,1,0,0,1,0,1,11.029
0,1,1,1,1,0,0,0,0,1,0,0,1,1,9.847
1,0,0,0,1,1,0,0,1,1,1,0,0,0,9.91
0,1,1,1,0,0,0,0,0,0,1,0,1,1,9.496
1,1,1,1,1,0,0,1,0,1,1,0,1,0,10.465
1,1,0,1,0,0,0,0,1,1,0,0,1,1,9.953
0,0,1,0,0,0,1,0,1,1,0,1,0,0,11.807
0,1,1,0,1,1,0,1,1,0,0,1,1,0,10.932
