SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K
0,0,0,1,0,1,1,0,0,1,1,1,1,0,68.421
0,0,0,0,1,0,1,0,0,1,0,0,0,1,68.348
0,1,0,1,0,1,0,1,0,0,1,0,1,1,72.234
1,1,0,0,0,1,0,0,1,1,0,1,0,1,71.309
1,0,0,1,1,1,0,1,1,1,0,0,1,1,68.461
1,1,1,1,0,0,1,0,1,1,1,0,1,0,68.942
0,1,1,1,1,1,1,0,0,1,0,1,1,0,69.061
1,0,1,0,1,0,0,1,1,1,0,0,0,1,68.844
1,0,1,1,1,0,1,0,1,1,1,1,1,0,70.916
1,0,0,1,1,1,0,1,1,0,1,1,0,0,68.536
0,1,0,1,0,1,1,0,0,1,0,1,0,0,69.087
0,0,0,1,0,1,0,1,0,1,1,1,0,0,68.558
0,1,0,0,1,1,0,0,1,0,1,0,1,0,67.89
0,1,1,1,1,0,0,1,0,1,0,0,1,0,69.235
1,1,0,1,1,0,0,1,1,0,1,0,0,0,71.422
0,0,1,0,1,1,0,1,1,1,0,0,0,0,69.105
1,0,0,0,1,0,0,1,1,0,0,1,0,1,68.778
1,1,0,0,0,0,0,1,0,0,1,1,1,1,68.142
1,1,0,1,0,0,1,0,0,1,0,1,0,0,69.302
0,0,0,0,0,1,0,1,1,0,0,1,0,1,68.861
0,1,1,1,1,0,0,0,0,1,0,0,1,1,70.687
1,0,0,0,1,1,0,0,1,1,1,0,0,0,69.747
0,1,1,1,0,0,0,0,0,0,1,0,1,1,68.412
1,1,1,1,1,0,0,1,0,1,1,0,1,0,69.61
1,1,0,1,0,0,0,0,1,1,0,0,1,1,68.095
0,0,1,0,0,0,1,0,1,1,0,1,0,0,68.903
0,1,1,0,1,1,0,1,1,0,0,1,1,0,68.805
1,0,0,1,1,0,1,1,0,0,0,1,1,0,68.512
1,1,1,0,0,0,1,0,1,0,0,0,0,1,68.079
0,0,0,0,1,0,0,0,1,0,1,0,1,0,68.445
0,0,0,0,1,0,0,0,0,1,1,1,1,0,68.961
1,0,1,1,1,1,0,1,0,0,0,1,0,0,69.249
0,1,0,1,0,0,0,0,1,0,0,0,0,1,71.754
0,1,0,1,0,0,0,0,0,0,1,1,0,1,68.334
1,1,0,1,1,1,0,1,0,0,0,0,0,0,68.023
0,1,1,0,0,0,1,0,0,1,1,1,0,0,69.284
0,1,1,0,0,0,0,1,0,1,1,0,0,1,68.92
1,1,1,0,1,1,0,0,1,0,1,1,1,1,68.943
0,0,0,0,1,0,1,0,1,0,1,0,1,0,69.469
