SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch
0,0,0,1,0,1,1,0,0,1,1,1,1,0,5.181
0,0,0,0,1,0,1,0,0,1,0,0,0,1,4.68
0,1,0,1,0,1,0,1,0,0,1,0,1,1,4.532
1,1,0,0,0,1,0,0,1,1,0,1,0,1,5.352
1,0,0,1,1,1,0,1,1,1,0,0,1,1,4.576
1,1,1,1,0,0,1,0,1,1,1,0,1,0,4.582
0,1,1,1,1,1,1,0,0,1,0,1,1,0,5.195
1,0,1,0,1,0,0,1,1,1,0,0,0,1,4.599
1,0,1,1,1,0,1,0,1,1,1,1,1,0,5.235
1,0,0,1,1,1,0,1,1,0,1,1,0,0,5.184
0,1,0,1,0,1,1,0,0,1,0,1,0,0,5.254
0,0,0,1,0,1,0,1,0,1,1,1,0,0,5.22
0,1,0,0,1,1,0,0,1,0,1,0,1,0,4.459
0,1,1,1,1,0,0,1,0,1,0,0,1,0,4.594
1,1,0,1,1,0,0,1,1,0,1,0,0,0,4.491
0,0,1,0,1,1,0,1,1,1,0,0,0,0,4.606
1,0,0,0,1,0,0,1,1,0,0,1,0,1,5.44
1,1,0,0,0,0,0,1,0,0,1,1,1,1,5.162
1,1,0,1,0,0,1,0,0,1,0,1,0,0,5.289
0,0,0,0,0,1,0,1,1,0,0,1,0,1,5.117
0,1,1,1,1,0,0,0,0,1,0,0,1,1,4.541
1,0,0,0,1,1,0,0,1,1,1,0,0,0,4.515
0,1,1,1,0,0,0,0,0,0,1,0,1,1,4.438
1,1,1,1,1,0,0,1,0,1,1,0,1,0,4.498
1,1,0,1,0,0,0,0,1,1,0,0,1,1,4.677
0,0,1,0,0,0,1,0,1,1,0,1,0,0,5.315
0,1,1,0,1,1,0,1,1,0,0,1,1,0,5.114
1,0,0,1,1,0,1,1,0,0,0,1,1,0,5.116
1,1,1,0,0,0,1,0,1,0,0,0,0,1,4.524
0,0,0,0,1,0,0,0,1,0,1,0,1,0,4.464
0,0,0,0,1,0,0,0,0,1,1,1,1,0,5.27
1,0,1,1,1,1,0,1,0,0,0,1,0,0,5.276
0,1,0,1,0,0,0,0,1,0,0,0,0,1,4.609
0,1,0,1,0,0,0,0,0,0,1,1,0,1,5.152
1,1,0,1,1,1,0,1,0,0,0,0,0,0,4.588
0,1,1,0,0,0,1,0,0,1,1,1,0,0,5.289
0,1,1,0,0,0,0,1,0,1,1,0,0,1,4.572
1,1,1,0,1,1,0,0,1,0,1,1,1,1,5.099
0,0,0,0,1,0,1,0,1,0,1,0,1,0,4.418
0,0,0,1,1,1,0,0,0,0,0,1,1,1,5.114
1,0,0,0,1,0,1,1,0,0,1,0,1,0,4.507
1,0,0,1,0,1,0,1,1,0,0,0,1,0,4.516
0,1,1,0,0,0,1,1,1,1,1,1,0,0,5.158
1,0,1,1,0,0,0,0,1,1,1,0,1,0,4.599
0,0,0,1,1,0,0,1,0,1,1,0,1,1,4.539
1,1,1,1,1,0,0,1,1,1,0,0,1,0,4.541
1,0,1,0,0,1,1,1,1,0,1,1,0,1,5.125
0,1,0,1,1,1,0,0,1,1,0,0,1,0,4.562
0,1,1,1,1,1,1,0,1,1,1,0,1,0,4.478
0,1,0,1,0,0,1,1,1,1,1,0,0,0,4.619
1,0,1,1,1,0,1,0,1,1,0,1,1,0,5.259
1,0,0,1,1,1,1,0,0,0,1,1,1,0,5.196
1,0,0,1,0,0,1,1,0,0,0,0,0,1,4.615
1,1,1,0,0,1,0,0,1,0,1,0,1,1,4.52
0,0,1,1,0,1,0,1,1,1,0,0,0,0,4.659
1,0,0,0,1,1,0,1,0,1,1,1,1,0,5.244
1,1,1,0,0,0,0,1,0,0,0,0,0,1,4.525
0,0,1,0,1,1,1,0,0,0,1,0,0,0,4.491
1,1,1,0,0,0,0,0,0,1,1,0,0,0,4.707
0,0,0,0,0,1,1,1,1,0,0,1,1,0,5.164
0,0,1,1,1,0,1,1,0,0,1,0,0,0,4.596
0,1,0,0,0,1,1,1,1,1,0,1,1,0,5.214
0,0,0,1,0,0,0,0,0,1,1,0,0,1,4.573
