SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,40.212
0,0,0,0,1,0,1,0,0,1,0,0,0,1,33.759
0,1,0,1,0,1,0,1,0,0,1,0,1,1,34.27
1,1,0,0,0,1,0,0,1,1,0,1,0,1,37.399
1,0,0,1,1,1,0,1,1,1,0,0,1,1,36.695
1,1,1,1,0,0,1,0,1,1,1,0,1,0,35.334
0,1,1,1,1,1,1,0,0,1,0,1,1,0,40.385
1,0,1,0,1,0,0,1,1,1,0,0,0,1,35.494
1,0,1,1,1,0,1,0,1,1,1,1,1,0,36.035
1,0,0,1,1,1,0,1,1,0,1,1,0,0,36.875
0,1,0,1,0,1,1,0,0,1,0,1,0,0,41.1
0,0,0,1,0,1,0,1,0,1,1,1,0,0,39.408
0,1,0,0,1,1,0,0,1,0,1,0,1,0,32.333
0,1,1,1,1,0,0,1,0,1,0,0,1,0,40.047
1,1,0,1,1,0,0,1,1,0,1,0,0,0,39.367
0,0,1,0,1,1,0,1,1,1,0,0,0,0,36.067
1,0,0,0,1,0,0,1,1,0,0,1,0,1,36.502
1,1,0,0,0,0,0,1,0,0,1,1,1,1,35.113
1,1,0,1,0,0,1,0,0,1,0,1,0,0,38.798
0,0,0,0,0,1,0,1,1,0,0,1,0,1,39.514
0,1,1,1,1,0,0,0,0,1,0,0,1,1,35.813
1,0,0,0,1,1,0,0,1,1,1,0,0,0,37.703
0,1,1,1,0,0,0,0,0,0,1,0,1,1,35.739
1,1,1,1,1,0,0,1,0,1,1,0,1,0,34.911
1,1,0,1,0,0,0,0,1,1,0,0,1,1,38.615
0,0,1,0,0,0,1,0,1,1,0,1,0,0,41.277
0,1,1,0,1,1,0,1,1,0,0,1,1,0,35.018
1,0,0,1,1,0,1,1,0,0,0,1,1,0,35.233
1,1,1,0,0,0,1,0,1,0,0,0,0,1,36.813
0,0,0,0,1,0,0,0,1,0,1,0,1,0,34.632
0,0,0,0,1,0,0,0,0,1,1,1,1,0,35.415
1,0,1,1,1,1,0,1,0,0,0,1,0,0,35.575
0,1,0,1,0,0,0,0,1,0,0,0,0,1,42.856
0,1,0,1,0,0,0,0,0,0,1,1,0,1,35.9
1,1,0,1,1,1,0,1,0,0,0,0,0,0,40.008
0,1,1,0,0,0,1,0,0,1,1,1,0,0,40.944
0,1,1,0,0,0,0,1,0,1,1,0,0,1,36.011
1,1,1,0,1,1,0,0,1,0,1,1,1,1,37.593
0,0,0,0,1,0,1,0,1,0,1,0,1,0,36.001
0,0,0,1,1,1,0,0,0,0,0,1,1,1,38.501
1,0,0,0,1,0,1,1,0,0,1,0,1,0,37.46
1,0,0,1,0,1,0,1,1,0,0,0,1,0,36.277
0,1,1,0,0,0,1,1,1,1,1,1,0,0,41.0
