SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,22.93
0,0,0,0,1,0,1,0,0,1,0,0,0,1,21.042
0,1,0,1,0,1,0,1,0,0,1,0,1,1,20.457
1,1,0,0,0,1,0,0,1,1,0,1,0,1,23.359
1,0,0,1,1,1,0,1,1,1,0,0,1,1,21.143
1,1,1,1,0,0,1,0,1,1,1,0,1,0,21.022
0,1,1,1,1,1,1,0,0,1,0,1,1,0,23.086
1,0,1,0,1,0,0,1,1,1,0,0,0,1,21.25
1,0,1,1,1,0,1,0,1,1,1,1,1,0,23.049
1,0,0,1,1,1,0,1,1,0,1,1,0,0,22.419
0,1,0,1,0,1,1,0,0,1,0,1,0,0,23.31
0,0,0,1,0,1,0,1,0,1,1,1,0,0,23.378
0,1,0,0,1,1,0,0,1,0,1,0,1,0,20.247
0,1,1,1,1,0,0,1,0,1,0,0,1,0,21.092
1,1,0,1,1,0,0,1,1,0,1,0,0,0,20.466
0,0,1,0,1,1,0,1,1,1,0,0,0,0,21.461
1,0,0,0,1,0,0,1,1,0,0,1,0,1,23.078
1,1,0,0,0,0,0,1,0,0,1,1,1,1,22.359
1,1,0,1,0,0,1,0,0,1,0,1,0,0,23.215
0,0,0,0,0,1,0,1,1,0,0,1,0,1,22.465
0,1,1,1,1,0,0,0,0,1,0,0,1,1,21.047
1,0,0,0,1,1,0,0,1,1,1,0,0,0,21.23
0,1,1,1,0,0,0,0,0,0,1,0,1,1,20.457
1,1,1,1,1,0,0,1,0,1,1,0,1,0,21.847
1,1,0,1,0,0,0,0,1,1,0,0,1,1,21.101
0,0,1,0,0,0,1,0,1,1,0,1,0,0,23.5
0,1,1,0,1,1,0,1,1,0,0,1,1,0,22.314
1,0,0,1,1,0,1,1,0,0,0,1,1,0,23.89
1,1,1,0,0,0,1,0,1,0,0,0,0,1,20.668
0,0,0,0,1,0,0,0,1,0,1,0,1,0,20.674
0,0,0,0,1,0,0,0,0,1,1,1,1,0,22.988
1,0,1,1,1,1,0,1,0,0,0,1,0,0,22.482
0,1,0,1,0,0,0,0,1,0,0,0,0,1,20.583
0,1,0,1,0,0,0,0,0,0,1,1,0,1,22.585
1,1,0,1,1,1,0,1,0,0,0,0,0,0,20.617
0,1,1,0,0,0,1,0,0,1,1,1,0,0,22.987
0,1,1,0,0,0,0,1,0,1,1,0,0,1,21.252
1,1,1,0,1,1,0,0,1,0,1,1,1,1,22.545
0,0,0,0,1,0,1,0,1,0,1,0,1,0,20.869
0,0,0,1,1,1,0,0,0,0,0,1,1,1,22.441
1,0,0,0,1,0,1,1,0,0,1,0,1,0,20.713
1,0,0,1,0,1,0,1,1,0,0,0,1,0,20.489
0,1,1,0,0,0,1,1,1,1,1,1,0,0,23.442
1,0,1,1,0,0,0,0,1,1,1,0,1,0,21.146
0,0,0,1,1,0,0,1,0,1,1,0,1,1,21.204
1,1,1,1,1,0,0,1,1,1,0,0,1,0,21.473
1,0,1,0,0,1,1,1,1,0,1,1,0,1,22.613
0,1,0,1,1,1,0,0,1,1,0,0,1,0,21.248
0,1,1,1,1,1,1,0,1,1,1,0,1,0,21.35
0,1,0,1,0,0,1,1,1,1,1,0,0,0,21.375
1,0,1,1,1,0,1,0,1,1,0,1,1,0,23.047
1,0,0,1,1,1,1,0,0,0,1,1,1,0,22.42
1,0,0,1,0,0,1,1,0,0,0,0,0,1,20.652
1,1,1,0,0,1,0,0,1,0,1,0,1,1,20.447
0,0,1,1,0,1,0,1,1,1,0,0,0,0,21.558
1,0,0,0,1,1,0,1,0,1,1,1,1,0,23.231
1,1,1,0,0,0,0,1,0,0,0,0,0,1,21.152
0,0,1,0,1,1,1,0,0,0,1,0,0,0,20.768
1,1,1,0,0,0,0,0,0,1,1,0,0,0,21.034
0,0,0,0,0,1,1,1,1,0,0,1,1,0,22.671
0,0,1,1,1,0,1,1,0,0,1,0,0,0,20.628
0,1,0,0,0,1,1,1,1,1,0,1,1,0,22.904
0,0,0,1,0,0,0,0,0,1,1,0,0,1,21.628
1,0,0,0,1,1,0,1,0,1,1,1,0,0,23.658
0,0,1,1,0,0,1,1,0,1,1,1,1,0,22.922
0,1,1,1,1,0,1,0,0,0,1,0,1,0,20.537
0,0,0,1,0,0,0,0,0,1,0,1,1,0,23.267
0,1,0,1,0,0,1,0,0,1,1,0,1,1,20.913
0,0,1,1,1,0,1,0,1,1,1,0,1,0,21.413
0,0,0,1,1,0,1,0,1,1,0,0,1,0,21.502
0,0,1,0,0,0,0,0,1,0,1,0,1,1,20.886
0,0,1,0,1,0,1,0,0,0,0,0,0,1,20.428
0,1,1,1,1,1,1,0,1,1,0,1,1,1,22.883
1,1,0,1,0,0,0,1,0,1,0,1,0,0,23.088
1,0,1,1,0,0,0,1,1,1,1,0,0,0,21.176
1,1,0,0,1,1,1,0,0,0,0,1,1,0,22.614
1,0,0,1,1,1,1,0,1,1,1,1,0,1,23.184
0,0,0,0,0,1,0,1,0,0,0,0,0,1,20.548
1,1,1,1,1,1,1,1,1,1,1,0,0,1,21.33
0,0,1,1,0,0,1,1,0,0,1,1,0,0,22.542
1,1,1,0,1,0,1,1,1,1,0,1,0,0,23.38
0,0,0,1,1,0,0,0,0,1,1,0,1,0,21.066
1,1,0,0,1,0,0,0,1,0,0,1,1,0,22.4
0,1,0,1,1,0,0,0,0,0,0,1,1,0,23.613
1,0,0,1,0,1,0,0,1,1,1,1,1,0,23.415
