SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2.443
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2.426
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2.525
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2.393
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2.393
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2.426
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2.425
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2.403
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2.398
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2.415
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2.461
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2.409
0,1,0,0,1,1,0,0,1,0,1,0,1,0,2.397
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2.413
1,1,0,1,1,0,0,1,1,0,1,0,0,0,2.536
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2.399
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2.389
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2.413
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2.404
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2.492
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2.395
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2.4
0,1,1,1,0,0,0,0,0,0,1,0,1,1,2.414
1,1,1,1,1,0,0,1,0,1,1,0,1,0,2.413
1,1,0,1,0,0,0,0,1,1,0,0,1,1,2.403
0,0,1,0,0,0,1,0,1,1,0,1,0,0,2.394
0,1,1,0,1,1,0,1,1,0,0,1,1,0,2.396
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2.38
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2.393
0,0,0,0,1,0,0,0,1,0,1,0,1,0,2.391
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2.413
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2.415
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2.45
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2.392
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2.389
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2.381
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2.432
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2.433
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2.449
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2.377
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2.384
1,0,0,1,0,1,0,1,1,0,0,0,1,0,2.386
0,1,1,0,0,0,1,1,1,1,1,1,0,0,2.393
1,0,1,1,0,0,0,0,1,1,1,0,1,0,2.407
0,0,0,1,1,0,0,1,0,1,1,0,1,1,2.393
1,1,1,1,1,0,0,1,1,1,0,0,1,0,2.44
1,0,1,0,0,1,1,1,1,0,1,1,0,1,2.462
0,1,0,1,1,1,0,0,1,1,0,0,1,0,2.432
0,1,1,1,1,1,1,0,1,1,1,0,1,0,2.4
0,1,0,1,0,0,1,1,1,1,1,0,0,0,2.41
1,0,1,1,1,0,1,0,1,1,0,1,1,0,2.394
1,0,0,1,1,1,1,0,0,0,1,1,1,0,2.415
1,0,0,1,0,0,1,1,0,0,0,0,0,1,2.406
1,1,1,0,0,1,0,0,1,0,1,0,1,1,2.389
0,0,1,1,0,1,0,1,1,1,0,0,0,0,2.372
1,0,0,0,1,1,0,1,0,1,1,1,1,0,2.388
1,1,1,0,0,0,0,1,0,0,0,0,0,1,2.453
0,0,1,0,1,1,1,0,0,0,1,0,0,0,2.406
1,1,1,0,0,0,0,0,0,1,1,0,0,0,2.38
0,0,0,0,0,1,1,1,1,0,0,1,1,0,2.387
0,0,1,1,1,0,1,1,0,0,1,0,0,0,2.409
0,1,0,0,0,1,1,1,1,1,0,1,1,0,2.428
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2.401
1,0,0,0,1,1,0,1,0,1,1,1,0,0,2.385
0,0,1,1,0,0,1,1,0,1,1,1,1,0,2.401
0,1,1,1,1,0,1,0,0,0,1,0,1,0,2.414
0,0,0,1,0,0,0,0,0,1,0,1,1,0,2.428
0,1,0,1,0,0,1,0,0,1,1,0,1,1,2.461
0,0,1,1,1,0,1,0,1,1,1,0,1,0,2.372
0,0,0,1,1,0,1,0,1,1,0,0,1,0,2.388
0,0,1,0,0,0,0,0,1,0,1,0,1,1,2.408
0,0,1,0,1,0,1,0,0,0,0,0,0,1,2.452
0,1,1,1,1,1,1,0,1,1,0,1,1,1,2.446
1,1,0,1,0,0,0,1,0,1,0,1,0,0,2.406
1,0,1,1,0,0,0,1,1,1,1,0,0,0,2.439
1,1,0,0,1,1,1,0,0,0,0,1,1,0,2.406
1,0,0,1,1,1,1,0,1,1,1,1,0,1,2.393
0,0,0,0,0,1,0,1,0,0,0,0,0,1,2.382
1,1,1,1,1,1,1,1,1,1,1,0,0,1,2.401
0,0,1,1,0,0,1,1,0,0,1,1,0,0,2.396
1,1,1,0,1,0,1,1,1,1,0,1,0,0,2.38
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2.386
1,1,0,0,1,0,0,0,1,0,0,1,1,0,2.397
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2.429
1,0,0,1,0,1,0,0,1,1,1,1,1,0,2.407
1,1,1,1,1,1,0,0,1,1,1,0,0,0,2.403
1,0,1,0,1,1,0,0,1,1,1,1,0,1,2.473
0,0,1,1,0,1,0,1,0,0,1,1,0,1,2.412
0,1,0,1,0,0,1,1,1,1,1,0,1,1,2.452
1,0,0,1,1,1,1,0,1,0,0,1,1,0,2.42
1,0,0,1,1,0,1,0,1,1,0,1,1,0,2.421
0,0,1,1,0,0,0,0,1,1,0,0,1,0,2.442
0,0,0,0,1,1,1,1,1,0,1,0,1,0,2.446
1,0,0,1,1,1,1,1,1,0,1,0,0,1,2.401
1,1,0,0,0,1,0,0,1,0,0,1,0,0,2.385
1,0,1,1,0,0,0,0,0,0,1,1,0,0,2.406
1,0,1,0,1,0,0,0,1,0,0,1,0,0,2.386
0,1,1,1,1,1,0,1,1,0,0,0,0,0,2.398
