SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,12.656
0,0,0,0,1,0,1,0,0,1,0,0,0,1,10.31
0,1,0,1,0,1,0,1,0,0,1,0,1,1,10.738
1,1,0,0,0,1,0,0,1,1,0,1,0,1,13.098
1,0,0,1,1,1,0,1,1,1,0,0,1,1,10.68
1,1,1,1,0,0,1,0,1,1,1,0,1,0,9.951
0,1,1,1,1,1,1,0,0,1,0,1,1,0,12.964
1,0,1,0,1,0,0,1,1,1,0,0,0,1,10.325
1,0,1,1,1,0,1,0,1,1,1,1,1,0,13.453
1,0,0,1,1,1,0,1,1,0,1,1,0,0,12.598
0,1,0,1,0,1,1,0,0,1,0,1,0,0,13.897
0,0,0,1,0,1,0,1,0,1,1,1,0,0,12.877
0,1,0,0,1,1,0,0,1,0,1,0,1,0,10.45
0,1,1,1,1,0,0,1,0,1,0,0,1,0,15.297
1,1,0,1,1,0,0,1,1,0,1,0,0,0,20.58
0,0,1,0,1,1,0,1,1,1,0,0,0,0,114.04
1,0,0,0,1,0,0,1,1,0,0,1,0,1,153.2
1,1,0,0,0,0,0,1,0,0,1,1,1,1,132.32
1,1,0,1,0,0,1,0,0,1,0,1,0,0,144.7
0,0,0,0,0,1,0,1,1,0,0,1,0,1,48.67
0,1,1,1,1,0,0,0,0,1,0,0,1,1,36.045
1,0,0,0,1,1,0,0,1,1,1,0,0,0,30.365
0,1,1,1,0,0,0,0,0,0,1,0,1,1,29.649
1,1,1,1,1,0,0,1,0,1,1,0,1,0,31.139
1,1,0,1,0,0,0,0,1,1,0,0,1,1,36.536
0,0,1,0,0,0,1,0,1,1,0,1,0,0,46.002
0,1,1,0,1,1,0,1,1,0,0,1,1,0,34.973
1,0,0,1,1,0,1,1,0,0,0,1,1,0,36.56
1,1,1,0,0,0,1,0,1,0,0,0,0,1,27.173
0,0,0,0,1,0,0,0,1,0,1,0,1,0,24.485
0,0,0,0,1,0,0,0,0,1,1,1,1,0,34.816
1,0,1,1,1,1,0,1,0,0,0,1,0,0,33.68
0,1,0,1,0,0,0,0,1,0,0,0,0,1,24.766
0,1,0,1,0,0,0,0,0,0,1,1,0,1,31.312
1,1,0,1,1,1,0,1,0,0,0,0,0,0,24.324
0,1,1,0,0,0,1,0,0,1,1,1,0,0,35.968
0,1,1,0,0,0,0,1,0,1,1,0,0,1,26.598
1,1,1,0,1,1,0,0,1,0,1,1,1,1,27.905
0,0,0,0,1,0,1,0,1,0,1,0,1,0,20.509
0,0,0,1,1,1,0,0,0,0,0,1,1,1,24.936
1,0,0,0,1,0,1,1,0,0,1,0,1,0,21.643
1,0,0,1,0,1,0,1,1,0,0,0,1,0,20.067
0,1,1,0,0,0,1,1,1,1,1,1,0,0,24.959
1,0,1,1,0,0,0,0,1,1,1,0,1,0,21.318
0,0,0,1,1,0,0,1,0,1,1,0,1,1,22.258
1,1,1,1,1,0,0,1,1,1,0,0,1,0,16.626
1,0,1,0,0,1,1,1,1,0,1,1,0,1,20.231
0,1,0,1,1,1,0,0,1,1,0,0,1,0,22.476
0,1,1,1,1,1,1,0,1,1,1,0,1,0,20.068
0,1,0,1,0,0,1,1,1,1,1,0,0,0,18.916
1,0,1,1,1,0,1,0,1,1,0,1,1,0,23.669
1,0,0,1,1,1,1,0,0,0,1,1,1,0,27.089
1,0,0,1,0,0,1,1,0,0,0,0,0,1,26.091
1,1,1,0,0,1,0,0,1,0,1,0,1,1,25.848
0,0,1,1,0,1,0,1,1,1,0,0,0,0,24.125
1,0,0,0,1,1,0,1,0,1,1,1,1,0,29.802
1,1,1,0,0,0,0,1,0,0,0,0,0,1,26.321
0,0,1,0,1,1,1,0,0,0,1,0,0,0,23.843
1,1,1,0,0,0,0,0,0,1,1,0,0,0,22.063
0,0,0,0,0,1,1,1,1,0,0,1,1,0,28.84
0,0,1,1,1,0,1,1,0,0,1,0,0,0,22.502
0,1,0,0,0,1,1,1,1,1,0,1,1,0,26.062
0,0,0,1,0,0,0,0,0,1,1,0,0,1,19.845
1,0,0,0,1,1,0,1,0,1,1,1,0,0,32.889
0,0,1,1,0,0,1,1,0,1,1,1,1,0,28.546
0,1,1,1,1,0,1,0,0,0,1,0,1,0,23.255
0,0,0,1,0,0,0,0,0,1,0,1,1,0,26.415
0,1,0,1,0,0,1,0,0,1,1,0,1,1,19.851
0,0,1,1,1,0,1,0,1,1,1,0,1,0,17.288
0,0,0,1,1,0,1,0,1,1,0,0,1,0,18.265
0,0,1,0,0,0,0,0,1,0,1,0,1,1,17.759
0,0,1,0,1,0,1,0,0,0,0,0,0,1,18.342
0,1,1,1,1,1,1,0,1,1,0,1,1,1,22.619
1,1,0,1,0,0,0,1,0,1,0,1,0,0,25.951
1,0,1,1,0,0,0,1,1,1,1,0,0,0,22.451
1,1,0,0,1,1,1,0,0,0,0,1,1,0,44.652
1,0,0,1,1,1,1,0,1,1,1,1,0,1,121.67
0,0,0,0,0,1,0,1,0,0,0,0,0,1,110.63
1,1,1,1,1,1,1,1,1,1,1,0,0,1,113.6
0,0,1,1,0,0,1,1,0,0,1,1,0,0,126.03
1,1,1,0,1,0,1,1,1,1,0,1,0,0,145.17
0,0,0,1,1,0,0,0,0,1,1,0,1,0,110.17
1,1,0,0,1,0,0,0,1,0,0,1,1,0,141.4
0,1,0,1,1,0,0,0,0,0,0,1,1,0,41.568
1,0,0,1,0,1,0,0,1,1,1,1,1,0,35.277
1,1,1,1,1,1,0,0,1,1,1,0,0,0,34.893
1,0,1,0,1,1,0,0,1,1,1,1,0,1,35.146
0,0,1,1,0,1,0,1,0,0,1,1,0,1,36.626
0,1,0,1,0,0,1,1,1,1,1,0,1,1,26.894
1,0,0,1,1,1,1,0,1,0,0,1,1,0,35.205
1,0,0,1,1,0,1,0,1,1,0,1,1,0,29.916
0,0,1,1,0,0,0,0,1,1,0,0,1,0,24.167
0,0,0,0,1,1,1,1,1,0,1,0,1,0,20.381
1,0,0,1,1,1,1,1,1,0,1,0,0,1,20.894
1,1,0,0,0,1,0,0,1,0,0,1,0,0,21.229
1,0,1,1,0,0,0,0,0,0,1,1,0,0,23.22
1,0,1,0,1,0,0,0,1,0,0,1,0,0,23.263
0,1,1,1,1,1,0,1,1,0,0,0,0,0,19.989
0,1,0,0,0,1,0,0,1,0,1,1,0,0,25.034
1,0,0,0,1,1,0,0,0,1,1,0,0,1,18.372
1,1,0,1,1,0,0,1,1,0,0,1,0,0,20.845
1,0,1,1,0,1,0,1,1,1,1,0,1,1,19.274
0,1,1,0,1,1,1,0,0,1,1,0,0,1,20.433
1,1,0,1,0,0,1,1,0,0,1,1,1,0,19.19
0,1,0,1,1,0,1,1,0,1,1,0,1,0,19.085
1,0,0,1,1,0,1,1,0,1,0,1,0,1,20.287
1,1,1,0,1,0,0,0,1,0,0,0,0,1,16.54
0,0,1,1,0,0,1,0,0,1,0,1,0,1,22.029
0,1,1,0,0,0,1,1,0,0,1,0,0,1,16.241
0,1,1,1,1,1,0,0,0,1,1,1,0,1,19.697
1,0,1,0,0,0,1,0,1,0,0,1,0,0,20.335
0,0,1,0,0,1,1,0,1,0,0,0,1,1,16.783
1,1,1,0,0,0,0,1,0,0,1,1,1,1,19.834
0,0,0,1,0,1,1,1,1,1,0,0,0,0,17.109
0,1,1,0,0,0,0,0,1,0,1,1,1,1,20.659
0,1,0,0,0,0,0,1,0,1,1,1,1,0,21.106
0,1,1,1,1,0,1,1,1,1,1,0,0,0,18.264
0,0,0,1,1,0,0,0,0,1,1,1,0,1,22.288
1,0,1,0,0,1,0,0,0,0,0,0,1,1,20.909
1,0,1,0,1,1,0,0,1,1,0,1,0,0,27.177
0,1,1,1,0,1,0,0,0,0,0,1,0,0,30.12
1,0,1,1,0,1,0,1,0,0,0,0,1,1,26.216
0,1,1,1,1,0,0,1,1,1,1,0,0,0,23.511
0,1,0,1,1,0,1,0,0,1,1,0,1,0,21.545
0,0,1,1,1,0,0,1,1,1,1,0,1,0,22.597
1,0,1,1,1,1,1,1,0,1,1,0,1,0,19.093
0,0,1,1,1,0,1,0,0,1,1,1,0,1,24.017
1,1,0,0,0,0,1,1,1,1,1,0,1,0,20.425
0,1,1,1,0,1,0,0,0,0,1,1,1,0,25.773
1,1,1,1,0,1,1,1,1,1,1,0,1,1,19.598
1,1,1,0,0,0,1,0,0,1,1,0,1,1,21.575
1,0,0,0,0,1,1,1,1,1,0,1,1,0,24.673
1,1,0,1,1,0,1,1,0,1,0,1,1,1,26.765
1,0,1,1,1,1,0,0,1,0,1,0,0,1,19.383
0,0,1,1,0,0,1,0,0,0,1,0,1,0,18.785
1,1,0,1,0,1,0,1,0,1,0,0,0,0,20.248
1,1,1,0,0,1,1,0,1,0,0,1,0,0,23.202
1,1,0,1,0,1,1,0,1,1,0,1,0,1,28.34
1,0,1,0,1,0,1,1,0,1,0,1,1,0,39.763
1,0,1,1,0,1,0,0,1,0,1,1,0,1,28.384
1,0,0,0,1,0,0,1,0,1,1,0,1,1,21.347
1,0,0,1,0,0,0,1,1,1,1,0,0,0,19.843
1,0,1,0,0,1,1,1,1,1,1,0,0,1,19.355
1,0,0,0,0,1,0,1,0,0,0,0,1,0,18.52
0,1,1,1,1,1,0,0,1,1,0,0,1,1,19.489
1,1,1,1,1,1,0,1,0,0,0,1,1,0,21.47
1,1,1,1,0,0,1,0,1,1,0,0,1,0,17.224
0,1,0,1,0,0,1,0,1,0,0,1,0,0,20.467
0,1,0,1,1,0,1,0,1,1,1,0,0,1,17.639
