SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,18.12
0,0,0,0,1,0,1,0,0,1,0,0,0,1,16.58
0,1,0,1,0,1,0,1,0,0,1,0,1,1,16.013
1,1,0,0,0,1,0,0,1,1,0,1,0,1,18.477
1,0,0,1,1,1,0,1,1,1,0,0,1,1,16.788
1,1,1,1,0,0,1,0,1,1,1,0,1,0,16.64
0,1,1,1,1,1,1,0,0,1,0,1,1,0,18.197
1,0,1,0,1,0,0,1,1,1,0,0,0,1,16.584
1,0,1,1,1,0,1,0,1,1,1,1,1,0,18.253
1,0,0,1,1,1,0,1,1,0,1,1,0,0,17.748
0,1,0,1,0,1,1,0,0,1,0,1,0,0,18.723
0,0,0,1,0,1,0,1,0,1,1,1,0,0,18.422
0,1,0,0,1,1,0,0,1,0,1,0,1,0,15.837
0,1,1,1,1,0,0,1,0,1,0,0,1,0,16.498
1,1,0,1,1,0,0,1,1,0,1,0,0,0,16.17
0,0,1,0,1,1,0,1,1,1,0,0,0,0,16.712
1,0,0,0,1,0,0,1,1,0,0,1,0,1,17.908
1,1,0,0,0,0,0,1,0,0,1,1,1,1,17.646
1,1,0,1,0,0,1,0,0,1,0,1,0,0,18.498
0,0,0,0,0,1,0,1,1,0,0,1,0,1,17.773
0,1,1,1,1,0,0,0,0,1,0,0,1,1,16.353
1,0,0,0,1,1,0,0,1,1,1,0,0,0,16.558
0,1,1,1,0,0,0,0,0,0,1,0,1,1,15.893
1,1,1,1,1,0,0,1,0,1,1,0,1,0,17.06
1,1,0,1,0,0,0,0,1,1,0,0,1,1,16.494
0,0,1,0,0,0,1,0,1,1,0,1,0,0,18.624
0,1,1,0,1,1,0,1,1,0,0,1,1,0,17.558
1,0,0,1,1,0,1,1,0,0,0,1,1,0,18.968
1,1,1,0,0,0,1,0,1,0,0,0,0,1,16.03
0,0,0,0,1,0,0,0,1,0,1,0,1,0,16.045
0,0,0,0,1,0,0,0,0,1,1,1,1,0,18.158
1,0,1,1,1,1,0,1,0,0,0,1,0,0,17.73
0,1,0,1,0,0,0,0,1,0,0,0,0,1,16.06
0,1,0,1,0,0,0,0,0,0,1,1,0,1,17.824
1,1,0,1,1,1,0,1,0,0,0,0,0,0,15.975
0,1,1,0,0,0,1,0,0,1,1,1,0,0,18.319
0,1,1,0,0,0,0,1,0,1,1,0,0,1,16.685
1,1,1,0,1,1,0,0,1,0,1,1,1,1,17.81
0,0,0,0,1,0,1,0,1,0,1,0,1,0,16.283
0,0,0,1,1,1,0,0,0,0,0,1,1,1,17.716
1,0,0,0,1,0,1,1,0,0,1,0,1,0,16.385
1,0,0,1,0,1,0,1,1,0,0,0,1,0,16.121
0,1,1,0,0,0,1,1,1,1,1,1,0,0,18.604
1,0,1,1,0,0,0,0,1,1,1,0,1,0,16.456
0,0,0,1,1,0,0,1,0,1,1,0,1,1,16.655
1,1,1,1,1,0,0,1,1,1,0,0,1,0,16.809
1,0,1,0,0,1,1,1,1,0,1,1,0,1,17.758
