SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,5.295
0,0,0,0,1,0,1,0,0,1,0,0,0,1,5.446
0,1,0,1,0,1,0,1,0,0,1,0,1,1,5.004
1,1,0,0,0,1,0,0,1,1,0,1,0,1,5.339
1,0,0,1,1,1,0,1,1,1,0,0,1,1,5.305
1,1,1,1,0,0,1,0,1,1,1,0,1,0,5.301
0,1,1,1,1,1,1,0,0,1,0,1,1,0,5.362
1,0,1,0,1,0,0,1,1,1,0,0,0,1,5.507
1,0,1,1,1,0,1,0,1,1,1,1,1,0,5.35
1,0,0,1,1,1,0,1,1,0,1,1,0,0,5.059
0,1,0,1,0,1,1,0,0,1,0,1,0,0,5.348
0,0,0,1,0,1,0,1,0,1,1,1,0,0,5.551
0,1,0,0,1,1,0,0,1,0,1,0,1,0,4.924
0,1,1,1,1,0,0,1,0,1,0,0,1,0,5.393
1,1,0,1,1,0,0,1,1,0,1,0,0,0,4.976
0,0,1,0,1,1,0,1,1,1,0,0,0,0,5.405
1,0,0,0,1,0,0,1,1,0,0,1,0,1,4.948
1,1,0,0,0,0,0,1,0,0,1,1,1,1,4.846
1,1,0,1,0,0,1,0,0,1,0,1,0,0,5.558
0,0,0,0,0,1,0,1,1,0,0,1,0,1,5.264
0,1,1,1,1,0,0,0,0,1,0,0,1,1,5.536
1,0,0,0,1,1,0,0,1,1,1,0,0,0,5.361
0,1,1,1,0,0,0,0,0,0,1,0,1,1,4.899
1,1,1,1,1,0,0,1,0,1,1,0,1,0,5.695
1,1,0,1,0,0,0,0,1,1,0,0,1,1,5.344
0,0,1,0,0,0,1,0,1,1,0,1,0,0,5.432
0,1,1,0,1,1,0,1,1,0,0,1,1,0,4.853
1,0,0,1,1,0,1,1,0,0,0,1,1,0,5.01
1,1,1,0,0,0,1,0,1,0,0,0,0,1,5.031
0,0,0,0,1,0,0,0,1,0,1,0,1,0,5.048
0,0,0,0,1,0,0,0,0,1,1,1,1,0,5.43
1,0,1,1,1,1,0,1,0,0,0,1,0,0,5.088
0,1,0,1,0,0,0,0,1,0,0,0,0,1,5.089
0,1,0,1,0,0,0,0,0,0,1,1,0,1,4.941
1,1,0,1,1,1,0,1,0,0,0,0,0,0,4.918
0,1,1,0,0,0,1,0,0,1,1,1,0,0,5.39
0,1,1,0,0,0,0,1,0,1,1,0,0,1,5.324
1,1,1,0,1,1,0,0,1,0,1,1,1,1,5.09
0,0,0,0,1,0,1,0,1,0,1,0,1,0,5.062
0,0,0,1,1,1,0,0,0,0,0,1,1,1,4.95
1,0,0,0,1,0,1,1,0,0,1,0,1,0,4.84
1,0,0,1,0,1,0,1,1,0,0,0,1,0,4.908
0,1,1,0,0,0,1,1,1,1,1,1,0,0,5.359
1,0,1,1,0,0,0,0,1,1,1,0,1,0,5.516
0,0,0,1,1,0,0,1,0,1,1,0,1,1,5.474
1,1,1,1,1,0,0,1,1,1,0,0,1,0,5.419
1,0,1,0,0,1,1,1,1,0,1,1,0,1,4.991
0,1,0,1,1,1,0,0,1,1,0,0,1,0,5.258
0,1,1,1,1,1,1,0,1,1,1,0,1,0,5.636
0,1,0,1,0,0,1,1,1,1,1,0,0,0,5.413
1,0,1,1,1,0,1,0,1,1,0,1,1,0,5.389
1,0,0,1,1,1,1,0,0,0,1,1,1,0,5.132
1,0,0,1,0,0,1,1,0,0,0,0,0,1,4.911
1,1,1,0,0,1,0,0,1,0,1,0,1,1,5.059
0,0,1,1,0,1,0,1,1,1,0,0,0,0,5.423
1,0,0,0,1,1,0,1,0,1,1,1,1,0,5.271
1,1,1,0,0,0,0,1,0,0,0,0,0,1,5.229
0,0,1,0,1,1,1,0,0,0,1,0,0,0,5.004
1,1,1,0,0,0,0,0,0,1,1,0,0,0,5.394
0,0,0,0,0,1,1,1,1,0,0,1,1,0,4.844
0,0,1,1,1,0,1,1,0,0,1,0,0,0,5.079
0,1,0,0,0,1,1,1,1,1,0,1,1,0,5.277
0,0,0,1,0,0,0,0,0,1,1,0,0,1,5.493
1,0,0,0,1,1,0,1,0,1,1,1,0,0,5.276
0,0,1,1,0,0,1,1,0,1,1,1,1,0,5.406
0,1,1,1,1,0,1,0,0,0,1,0,1,0,4.924
0,0,0,1,0,0,0,0,0,1,0,1,1,0,5.255
0,1,0,1,0,0,1,0,0,1,1,0,1,1,5.443
0,0,1,1,1,0,1,0,1,1,1,0,1,0,5.465
0,0,0,1,1,0,1,0,1,1,0,0,1,0,5.422
0,0,1,0,0,0,0,0,1,0,1,0,1,1,4.895
0,0,1,0,1,0,1,0,0,0,0,0,0,1,5.085
0,1,1,1,1,1,1,0,1,1,0,1,1,1,5.378
1,1,0,1,0,0,0,1,0,1,0,1,0,0,5.435
1,0,1,1,0,0,0,1,1,1,1,0,0,0,5.332
1,1,0,0,1,1,1,0,0,0,0,1,1,0,5.108
1,0,0,1,1,1,1,0,1,1,1,1,0,1,5.288
0,0,0,0,0,1,0,1,0,0,0,0,0,1,5.037
1,1,1,1,1,1,1,1,1,1,1,0,0,1,5.562
0,0,1,1,0,0,1,1,0,0,1,1,0,0,5.047
1,1,1,0,1,0,1,1,1,1,0,1,0,0,5.315
0,0,0,1,1,0,0,0,0,1,1,0,1,0,5.52
1,1,0,0,1,0,0,0,1,0,0,1,1,0,4.947
0,1,0,1,1,0,0,0,0,0,0,1,1,0,5.148
1,0,0,1,0,1,0,0,1,1,1,1,1,0,5.399
1,1,1,1,1,1,0,0,1,1,1,0,0,0,5.522
1,0,1,0,1,1,0,0,1,1,1,1,0,1,5.443
0,0,1,1,0,1,0,1,0,0,1,1,0,1,4.907
0,1,0,1,0,0,1,1,1,1,1,0,1,1,5.405
1,0,0,1,1,1,1,0,1,0,0,1,1,0,4.99
1,0,0,1,1,0,1,0,1,1,0,1,1,0,5.402
0,0,1,1,0,0,0,0,1,1,0,0,1,0,5.481
0,0,0,0,1,1,1,1,1,0,1,0,1,0,5.101
1,0,0,1,1,1,1,1,1,0,1,0,0,1,5.1
1,1,0,0,0,1,0,0,1,0,0,1,0,0,5.077
1,0,1,1,0,0,0,0,0,0,1,1,0,0,5.069
1,0,1,0,1,0,0,0,1,0,0,1,0,0,4.935
0,1,1,1,1,1,0,1,1,0,0,0,0,0,4.931
