SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,5.099
0,0,0,0,1,0,1,0,0,1,0,0,0,1,4.511
0,1,0,1,0,1,0,1,0,0,1,0,1,1,4.458
1,1,0,0,0,1,0,0,1,1,0,1,0,1,5.208
1,0,0,1,1,1,0,1,1,1,0,0,1,1,4.54
1,1,1,1,0,0,1,0,1,1,1,0,1,0,4.777
0,1,1,1,1,1,1,0,0,1,0,1,1,0,5.121
1,0,1,0,1,0,0,1,1,1,0,0,0,1,4.549
1,0,1,1,1,0,1,0,1,1,1,1,1,0,5.15
1,0,0,1,1,1,0,1,1,0,1,1,0,0,5.053
0,1,0,1,0,1,1,0,0,1,0,1,0,0,5.094
0,0,0,1,0,1,0,1,0,1,1,1,0,0,5.193
0,1,0,0,1,1,0,0,1,0,1,0,1,0,4.43
0,1,1,1,1,0,0,1,0,1,0,0,1,0,6.524
1,1,0,1,1,0,0,1,1,0,1,0,0,0,9.17
0,0,1,0,1,1,0,1,1,1,0,0,0,0,48.263
1,0,0,0,1,0,0,1,1,0,0,1,0,1,53.257
1,1,0,0,0,0,0,1,0,0,1,1,1,1,42.547
1,1,0,1,0,0,1,0,0,1,0,1,0,0,54.631
0,0,0,0,0,1,0,1,1,0,0,1,0,1,18.792
0,1,1,1,1,0,0,0,0,1,0,0,1,1,16.103
1,0,0,0,1,1,0,0,1,1,1,0,0,0,13.2
0,1,1,1,0,0,0,0,0,0,1,0,1,1,12.089
1,1,1,1,1,0,0,1,0,1,1,0,1,0,13.25
1,1,0,1,0,0,0,0,1,1,0,0,1,1,15.45
0,0,1,0,0,0,1,0,1,1,0,1,0,0,17.483
0,1,1,0,1,1,0,1,1,0,0,1,1,0,12.891
1,0,0,1,1,0,1,1,0,0,0,1,1,0,13.763
1,1,1,0,0,0,1,0,1,0,0,0,0,1,11.464
0,0,0,0,1,0,0,0,1,0,1,0,1,0,11.875
0,0,0,0,1,0,0,0,0,1,1,1,1,0,14.787
1,0,1,1,1,1,0,1,0,0,0,1,0,0,13.013
0,1,0,1,0,0,0,0,1,0,0,0,0,1,10.724
0,1,0,1,0,0,0,0,0,0,1,1,0,1,12.357
1,1,0,1,1,1,0,1,0,0,0,0,0,0,10.768
0,1,1,0,0,0,1,0,0,1,1,1,0,0,13.904
0,1,1,0,0,0,0,1,0,1,1,0,0,1,12.749
1,1,1,0,1,1,0,0,1,0,1,1,1,1,13.756
0,0,0,0,1,0,1,0,1,0,1,0,1,0,8.755
0,0,0,1,1,1,0,0,0,0,0,1,1,1,9.399
1,0,0,0,1,0,1,1,0,0,1,0,1,0,9.753
1,0,0,1,0,1,0,1,1,0,0,0,1,0,10.267
0,1,1,0,0,0,1,1,1,1,1,1,0,0,12.229
1,0,1,1,0,0,0,0,1,1,1,0,1,0,9.237
0,0,0,1,1,0,0,1,0,1,1,0,1,1,9.645
1,1,1,1,1,0,0,1,1,1,0,0,1,0,7.341
1,0,1,0,0,1,1,1,1,0,1,1,0,1,7.977
0,1,0,1,1,1,0,0,1,1,0,0,1,0,10.176
0,1,1,1,1,1,1,0,1,1,1,0,1,0,8.771
0,1,0,1,0,0,1,1,1,1,1,0,0,0,8.665
1,0,1,1,1,0,1,0,1,1,0,1,1,0,9.081
1,0,0,1,1,1,1,0,0,0,1,1,1,0,10.376
1,0,0,1,0,0,1,1,0,0,0,0,0,1,10.334
1,1,1,0,0,1,0,0,1,0,1,0,1,1,16.023
0,0,1,1,0,1,0,1,1,1,0,0,0,0,10.35
1,0,0,0,1,1,0,1,0,1,1,1,1,0,11.681
1,1,1,0,0,0,0,1,0,0,0,0,0,1,13.956
0,0,1,0,1,1,1,0,0,0,1,0,0,0,10.147
1,1,1,0,0,0,0,0,0,1,1,0,0,0,9.235
0,0,0,0,0,1,1,1,1,0,0,1,1,0,10.896
0,0,1,1,1,0,1,1,0,0,1,0,0,0,9.763
0,1,0,0,0,1,1,1,1,1,0,1,1,0,10.372
0,0,0,1,0,0,0,0,0,1,1,0,0,1,8.88
1,0,0,0,1,1,0,1,0,1,1,1,0,0,11.719
0,0,1,1,0,0,1,1,0,1,1,1,1,0,10.851
0,1,1,1,1,0,1,0,0,0,1,0,1,0,10.228
0,0,0,1,0,0,0,0,0,1,0,1,1,0,10.309
0,1,0,1,0,0,1,0,0,1,1,0,1,1,8.37
0,0,1,1,1,0,1,0,1,1,1,0,1,0,7.642
0,0,0,1,1,0,1,0,1,1,0,0,1,0,8.793
0,0,1,0,0,0,0,0,1,0,1,0,1,1,9.071
0,0,1,0,1,0,1,0,0,0,0,0,0,1,7.682
0,1,1,1,1,1,1,0,1,1,0,1,1,1,10.451
1,1,0,1,0,0,0,1,0,1,0,1,0,0,9.528
1,0,1,1,0,0,0,1,1,1,1,0,0,0,9.413
1,1,0,0,1,1,1,0,0,0,0,1,1,0,17.16
1,0,0,1,1,1,1,0,1,1,1,1,0,1,43.19
0,0,0,0,0,1,0,1,0,0,0,0,0,1,51.428
1,1,1,1,1,1,1,1,1,1,1,0,0,1,40.658
0,0,1,1,0,0,1,1,0,0,1,1,0,0,42.462
1,1,1,0,1,0,1,1,1,1,0,1,0,0,54.706
0,0,0,1,1,0,0,0,0,1,1,0,1,0,47.677
1,1,0,0,1,0,0,0,1,0,0,1,1,0,53.739
0,1,0,1,1,0,0,0,0,0,0,1,1,0,23.255
1,0,0,1,0,1,0,0,1,1,1,1,1,0,13.145
1,1,1,1,1,1,0,0,1,1,1,0,0,0,18.908
1,0,1,0,1,1,0,0,1,1,1,1,0,1,13.302
0,0,1,1,0,1,0,1,0,0,1,1,0,1,18.908
0,1,0,1,0,0,1,1,1,1,1,0,1,1,11.702
