SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,129.23
0,0,0,0,1,0,1,0,0,1,0,0,0,1,128.82
0,1,0,1,0,1,0,1,0,0,1,0,1,1,128.25
1,1,0,0,0,1,0,0,1,1,0,1,0,1,128.98
1,0,0,1,1,1,0,1,1,1,0,0,1,1,128.87
1,1,1,1,0,0,1,0,1,1,1,0,1,0,129.6
0,1,1,1,1,1,1,0,0,1,0,1,1,0,130.32
1,0,1,0,1,0,0,1,1,1,0,0,0,1,130.85
1,0,1,1,1,0,1,0,1,1,1,1,1,0,129.23
1,0,0,1,1,1,0,1,1,0,1,1,0,0,129.2
0,1,0,1,0,1,1,0,0,1,0,1,0,0,131.06
0,0,0,1,0,1,0,1,0,1,1,1,0,0,129.21
0,1,0,0,1,1,0,0,1,0,1,0,1,0,129.82
0,1,1,1,1,0,0,1,0,1,0,0,1,0,130.78
1,1,0,1,1,0,0,1,1,0,1,0,0,0,129.68
0,0,1,0,1,1,0,1,1,1,0,0,0,0,127.44
1,0,0,0,1,0,0,1,1,0,0,1,0,1,128.13
1,1,0,0,0,0,0,1,0,0,1,1,1,1,129.6
1,1,0,1,0,0,1,0,0,1,0,1,0,0,130.05
0,0,0,0,0,1,0,1,1,0,0,1,0,1,130.19
0,1,1,1,1,0,0,0,0,1,0,0,1,1,129.92
1,0,0,0,1,1,0,0,1,1,1,0,0,0,130.55
0,1,1,1,0,0,0,0,0,0,1,0,1,1,127.86
1,1,1,1,1,0,0,1,0,1,1,0,1,0,129.2
1,1,0,1,0,0,0,0,1,1,0,0,1,1,128.05
0,0,1,0,0,0,1,0,1,1,0,1,0,0,127.86
0,1,1,0,1,1,0,1,1,0,0,1,1,0,129.33
1,0,0,1,1,0,1,1,0,0,0,1,1,0,128.33
1,1,1,0,0,0,1,0,1,0,0,0,0,1,128.58
0,0,0,0,1,0,0,0,1,0,1,0,1,0,129.32
0,0,0,0,1,0,0,0,0,1,1,1,1,0,128.31
1,0,1,1,1,1,0,1,0,0,0,1,0,0,128.82
0,1,0,1,0,0,0,0,1,0,0,0,0,1,133.35
0,1,0,1,0,0,0,0,0,0,1,1,0,1,129.53
1,1,0,1,1,1,0,1,0,0,0,0,0,0,130.18
0,1,1,0,0,0,1,0,0,1,1,1,0,0,129.33
0,1,1,0,0,0,0,1,0,1,1,0,0,1,127.71
1,1,1,0,1,1,0,0,1,0,1,1,1,1,128.99
0,0,0,0,1,0,1,0,1,0,1,0,1,0,131.72
0,0,0,1,1,1,0,0,0,0,0,1,1,1,129.49
1,0,0,0,1,0,1,1,0,0,1,0,1,0,129.47
1,0,0,1,0,1,0,1,1,0,0,0,1,0,129.25
0,1,1,0,0,0,1,1,1,1,1,1,0,0,131.89
1,0,1,1,0,0,0,0,1,1,1,0,1,0,129.34
0,0,0,1,1,0,0,1,0,1,1,0,1,1,130.14
1,1,1,1,1,0,0,1,1,1,0,0,1,0,128.56
1,0,1,0,0,1,1,1,1,0,1,1,0,1,128.9
0,1,0,1,1,1,0,0,1,1,0,0,1,0,128.93
0,1,1,1,1,1,1,0,1,1,1,0,1,0,128.35
0,1,0,1,0,0,1,1,1,1,1,0,0,0,129.68
1,0,1,1,1,0,1,0,1,1,0,1,1,0,129.9
1,0,0,1,1,1,1,0,0,0,1,1,1,0,129.07
1,0,0,1,0,0,1,1,0,0,0,0,0,1,129.54
1,1,1,0,0,1,0,0,1,0,1,0,1,1,128.15
0,0,1,1,0,1,0,1,1,1,0,0,0,0,129.3
1,0,0,0,1,1,0,1,0,1,1,1,1,0,128.8
1,1,1,0,0,0,0,1,0,0,0,0,0,1,130.29
0,0,1,0,1,1,1,0,0,0,1,0,0,0,128.47
1,1,1,0,0,0,0,0,0,1,1,0,0,0,128.66
