SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2595.4
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2608.2
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2579.2
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2589.2
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2611.2
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2579.5
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2596.9
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2607.2
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2598.0
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2594.6
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2596.1
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2599.9
0,1,0,0,1,1,0,0,1,0,1,0,1,0,2588.8
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2588.6
1,1,0,1,1,0,0,1,1,0,1,0,0,0,2594.3
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2583.3
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2592.7
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2595.2
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2597.8
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2601.0
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2584.0
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2579.4
0,1,1,1,0,0,0,0,0,0,1,0,1,1,2576.9
1,1,1,1,1,0,0,1,0,1,1,0,1,0,2577.0
1,1,0,1,0,0,0,0,1,1,0,0,1,1,2562.9
0,0,1,0,0,0,1,0,1,1,0,1,0,0,2596.1
0,1,1,0,1,1,0,1,1,0,0,1,1,0,2575.7
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2587.7
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2598.2
0,0,0,0,1,0,0,0,1,0,1,0,1,0,2569.5
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2586.0
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2591.0
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2572.4
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2584.7
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2588.8
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2601.9
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2600.6
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2592.1
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2570.7
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2609.5
