SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,437.48
0,0,0,0,1,0,1,0,0,1,0,0,0,1,430.18
0,1,0,1,0,1,0,1,0,0,1,0,1,1,434.55
1,1,0,0,0,1,0,0,1,1,0,1,0,1,430.77
1,0,0,1,1,1,0,1,1,1,0,0,1,1,434.53
1,1,1,1,0,0,1,0,1,1,1,0,1,0,436.15
0,1,1,1,1,1,1,0,0,1,0,1,1,0,432.71
1,0,1,0,1,0,0,1,1,1,0,0,0,1,428.18
1,0,1,1,1,0,1,0,1,1,1,1,1,0,432.79
1,0,0,1,1,1,0,1,1,0,1,1,0,0,433.32
0,1,0,1,0,1,1,0,0,1,0,1,0,0,436.39
0,0,0,1,0,1,0,1,0,1,1,1,0,0,439.07
0,1,0,0,1,1,0,0,1,0,1,0,1,0,435.85
0,1,1,1,1,0,0,1,0,1,0,0,1,0,427.14
1,1,0,1,1,0,0,1,1,0,1,0,0,0,429.28
0,0,1,0,1,1,0,1,1,1,0,0,0,0,435.88
1,0,0,0,1,0,0,1,1,0,0,1,0,1,437.44
1,1,0,0,0,0,0,1,0,0,1,1,1,1,439.34
1,1,0,1,0,0,1,0,0,1,0,1,0,0,435.78
0,0,0,0,0,1,0,1,1,0,0,1,0,1,438.76
0,1,1,1,1,0,0,0,0,1,0,0,1,1,430.57
1,0,0,0,1,1,0,0,1,1,1,0,0,0,437.12
0,1,1,1,0,0,0,0,0,0,1,0,1,1,427.08
1,1,1,1,1,0,0,1,0,1,1,0,1,0,429.11
1,1,0,1,0,0,0,0,1,1,0,0,1,1,429.07
0,0,1,0,0,0,1,0,1,1,0,1,0,0,431.87
0,1,1,0,1,1,0,1,1,0,0,1,1,0,431.63
1,0,0,1,1,0,1,1,0,0,0,1,1,0,436.34
1,1,1,0,0,0,1,0,1,0,0,0,0,1,427.88
0,0,0,0,1,0,0,0,1,0,1,0,1,0,428.08
0,0,0,0,1,0,0,0,0,1,1,1,1,0,436.37
1,0,1,1,1,1,0,1,0,0,0,1,0,0,431.79
0,1,0,1,0,0,0,0,1,0,0,0,0,1,430.68
0,1,0,1,0,0,0,0,0,0,1,1,0,1,441.61
1,1,0,1,1,1,0,1,0,0,0,0,0,0,429.25
0,1,1,0,0,0,1,0,0,1,1,1,0,0,446.37
0,1,1,0,0,0,0,1,0,1,1,0,0,1,436.46
1,1,1,0,1,1,0,0,1,0,1,1,1,1,433.07
0,0,0,0,1,0,1,0,1,0,1,0,1,0,430.52
0,0,0,1,1,1,0,0,0,0,0,1,1,1,433.01
1,0,0,0,1,0,1,1,0,0,1,0,1,0,432.82
1,0,0,1,0,1,0,1,1,0,0,0,1,0,427.22
0,1,1,0,0,0,1,1,1,1,1,1,0,0,432.62
1,0,1,1,0,0,0,0,1,1,1,0,1,0,428.95
0,0,0,1,1,0,0,1,0,1,1,0,1,1,431.21
1,1,1,1,1,0,0,1,1,1,0,0,1,0,429.85
1,0,1,0,0,1,1,1,1,0,1,1,0,1,432.23
0,1,0,1,1,1,0,0,1,1,0,0,1,0,435.67
0,1,1,1,1,1,1,0,1,1,1,0,1,0,427.67
0,1,0,1,0,0,1,1,1,1,1,0,0,0,430.86
1,0,1,1,1,0,1,0,1,1,0,1,1,0,434.91
1,0,0,1,1,1,1,0,0,0,1,1,1,0,433.86
1,0,0,1,0,0,1,1,0,0,0,0,0,1,432.16
1,1,1,0,0,1,0,0,1,0,1,0,1,1,430.4
0,0,1,1,0,1,0,1,1,1,0,0,0,0,432.07
1,0,0,0,1,1,0,1,0,1,1,1,1,0,439.39
1,1,1,0,0,0,0,1,0,0,0,0,0,1,431.12
0,0,1,0,1,1,1,0,0,0,1,0,0,0,430.57
1,1,1,0,0,0,0,0,0,1,1,0,0,0,430.05
0,0,0,0,0,1,1,1,1,0,0,1,1,0,430.38
0,0,1,1,1,0,1,1,0,0,1,0,0,0,433.18
0,1,0,0,0,1,1,1,1,1,0,1,1,0,432.16
0,0,0,1,0,0,0,0,0,1,1,0,0,1,430.25
1,0,0,0,1,1,0,1,0,1,1,1,0,0,435.0
0,0,1,1,0,0,1,1,0,1,1,1,1,0,432.66
0,1,1,1,1,0,1,0,0,0,1,0,1,0,433.27
0,0,0,1,0,0,0,0,0,1,0,1,1,0,435.32
0,1,0,1,0,0,1,0,0,1,1,0,1,1,429.0
0,0,1,1,1,0,1,0,1,1,1,0,1,0,427.49
0,0,0,1,1,0,1,0,1,1,0,0,1,0,430.55
0,0,1,0,0,0,0,0,1,0,1,0,1,1,427.11
0,0,1,0,1,0,1,0,0,0,0,0,0,1,432.56
0,1,1,1,1,1,1,0,1,1,0,1,1,1,433.52
1,1,0,1,0,0,0,1,0,1,0,1,0,0,435.3
1,0,1,1,0,0,0,1,1,1,1,0,0,0,429.96
1,1,0,0,1,1,1,0,0,0,0,1,1,0,435.38
1,0,0,1,1,1,1,0,1,1,1,1,0,1,433.06
0,0,0,0,0,1,0,1,0,0,0,0,0,1,434.93
1,1,1,1,1,1,1,1,1,1,1,0,0,1,427.93
0,0,1,1,0,0,1,1,0,0,1,1,0,0,436.13
1,1,1,0,1,0,1,1,1,1,0,1,0,0,436.1
0,0,0,1,1,0,0,0,0,1,1,0,1,0,433.18
1,1,0,0,1,0,0,0,1,0,0,1,1,0,432.73
0,1,0,1,1,0,0,0,0,0,0,1,1,0,432.6
1,0,0,1,0,1,0,0,1,1,1,1,1,0,431.25
1,1,1,1,1,1,0,0,1,1,1,0,0,0,430.98
1,0,1,0,1,1,0,0,1,1,1,1,0,1,433.12
0,0,1,1,0,1,0,1,0,0,1,1,0,1,432.27
0,1,0,1,0,0,1,1,1,1,1,0,1,1,431.24
1,0,0,1,1,1,1,0,1,0,0,1,1,0,433.56
1,0,0,1,1,0,1,0,1,1,0,1,1,0,437.74
0,0,1,1,0,0,0,0,1,1,0,0,1,0,433.72
0,0,0,0,1,1,1,1,1,0,1,0,1,0,426.88
1,0,0,1,1,1,1,1,1,0,1,0,0,1,432.7
1,1,0,0,0,1,0,0,1,0,0,1,0,0,433.11
1,0,1,1,0,0,0,0,0,0,1,1,0,0,435.61
1,0,1,0,1,0,0,0,1,0,0,1,0,0,438.28
0,1,1,1,1,1,0,1,1,0,0,0,0,0,440.61
0,1,0,0,0,1,0,0,1,0,1,1,0,0,430.78
1,0,0,0,1,1,0,0,0,1,1,0,0,1,425.85
1,1,0,1,1,0,0,1,1,0,0,1,0,0,434.06
1,0,1,1,0,1,0,1,1,1,1,0,1,1,429.32
0,1,1,0,1,1,1,0,0,1,1,0,0,1,434.05
1,1,0,1,0,0,1,1,0,0,1,1,1,0,435.73
0,1,0,1,1,0,1,1,0,1,1,0,1,0,427.96
1,0,0,1,1,0,1,1,0,1,0,1,0,1,434.69
